iter	Passed	Remaining
0	165	66088
1	191	38197
2	216	28660
3	242	23986
4	268	21226
5	293	19242
6	318	17897
7	342	16774
8	367	15978
9	394	15371
10	419	14843
11	442	14321
12	466	13892
13	492	13589
14	521	13396
15	549	13191
16	575	12975
17	678	14407
18	719	14433
19	745	14165
20	771	13923
21	798	13723
22	823	13495
23	849	13311
24	876	13154
25	903	12990
26	927	12815
27	952	12650
28	979	12525
29	1005	12404
30	1034	12308
31	1060	12194
32	1087	12098
33	1115	12012
34	1143	11922
35	1175	11883
36	1202	11801
37	1229	11711
38	1261	11672
39	1289	11609
40	1320	11561
41	1350	11508
42	1381	11465
43	1409	11401
44	1437	11339
45	1466	11286
46	1494	11226
47	1522	11167
48	1553	11130
49	1586	11106
50	1616	11064
51	1648	11030
52	1678	10992
53	1706	10937
54	1734	10882
55	1763	10833
56	1792	10786
57	1819	10730
58	1848	10686
59	1876	10631
60	1901	10565
61	1928	10512
62	1954	10453
63	1980	10396
64	2006	10341
65	2033	10289
66	2060	10243
67	2087	10192
68	2114	10142
69	2141	10094
70	2167	10042
71	2192	9990
72	2220	9945
73	2245	9893
74	2272	9848
75	2300	9807
76	2326	9759
77	2352	9710
78	2376	9656
79	2402	9608
80	2429	9566
81	2454	9519
82	2480	9473
83	2506	9428
84	2535	9394
85	2560	9350
86	2587	9308
87	2612	9264
88	2640	9227
89	2667	9186
90	2695	9151
91	2721	9110
92	2747	9069
93	2774	9032
94	2801	8994
95	2826	8951
96	2852	8908
97	2878	8871
98	2906	8835
99	2932	8796
100	2956	8751
101	2981	8709
102	3006	8668
103	3032	8630
104	3060	8599
105	3088	8565
106	3114	8529
107	3140	8490
108	3168	8458
109	3196	8428
110	3223	8392
111	3250	8358
112	3277	8325
113	3304	8290
114	3333	8262
115	3359	8224
116	3386	8191
117	3414	8160
118	3441	8126
119	3468	8092
120	3494	8056
121	3522	8026
122	3549	7992
123	3573	7954
124	3602	7925
125	3627	7889
126	3650	7848
127	3678	7817
128	3704	7782
129	3732	7751
130	3756	7713
131	3782	7679
132	3807	7643
133	3832	7608
134	3856	7569
135	3883	7538
136	3909	7504
137	3937	7475
138	3961	7438
139	3985	7401
140	4014	7374
141	4045	7350
142	4070	7315
143	4097	7284
144	4121	7248
145	4146	7214
146	4172	7180
147	4197	7146
148	4223	7114
149	4248	7080
150	4274	7048
151	4300	7015
152	4325	6982
153	4348	6946
154	4374	6913
155	4398	6879
156	4423	6847
157	4449	6814
158	4475	6783
159	4502	6753
160	4530	6725
161	4557	6695
162	4581	6661
163	4608	6632
164	4635	6602
165	4660	6570
166	4687	6539
167	4714	6510
168	4740	6480
169	4763	6445
170	4788	6412
171	4813	6380
172	4839	6350
173	4864	6318
174	4890	6287
175	4917	6258
176	4941	6225
177	4966	6194
178	4993	6165
179	5018	6134
180	5046	6105
181	5072	6075
182	5097	6044
183	5123	6014
184	5147	5982
185	5174	5953
186	5201	5924
187	5224	5892
188	5250	5861
189	5274	5829
190	5299	5799
191	5324	5767
192	5348	5736
193	5374	5707
194	5402	5679
195	5427	5649
196	5452	5618
197	5477	5588
198	5504	5559
199	5529	5529
200	5557	5501
201	5581	5471
202	5607	5441
203	5633	5412
204	5658	5382
205	5683	5352
206	5708	5321
207	5732	5291
208	5758	5262
209	5784	5233
210	5811	5205
211	5835	5175
212	5862	5146
213	5888	5117
214	5913	5088
