data;tipoCombustivel;precoMedio
"2008-12-31";"GPL Auto";"0,5610 €"
"2010-03-15";"GPL Auto";"0,6517 €"
"2011-06-07";"GPL Auto";"0,7793 €"
"2009-01-01";"GPL Auto";"0,5610 €"
"2009-01-03";"GPL Auto";"0,5610 €"
"2010-03-18";"GPL Auto";"0,6513 €"
"2011-06-09";"GPL Auto";"0,7793 €"
"2009-01-06";"GPL Auto";"0,5620 €"
"2009-01-08";"GPL Auto";"0,5620 €"
"2010-03-20";"GPL Auto";"0,6440 €"
"2011-06-12";"GPL Auto";"0,7690 €"
"2010-03-12";"GPL Auto";"0,6521 €"
"2009-01-11";"GPL Auto";"0,5620 €"
"2010-03-23";"GPL Auto";"0,6513 €"
"2011-06-17";"GPL Auto";"0,7751 €"
"2010-03-17";"GPL Auto";"0,6508 €"
"2009-01-13";"GPL Auto";"0,5645 €"
"2010-03-28";"GPL Auto";"0,6442 €"
"2011-06-20";"GPL Auto";"0,7751 €"
"2010-03-22";"GPL Auto";"0,6517 €"
"2012-08-31";"GPL Auto";"0,7762 €"
"2010-03-31";"GPL Auto";"0,6513 €"
"2011-06-22";"GPL Auto";"0,7750 €"
"2010-03-25";"GPL Auto";"0,6515 €"
"2012-09-05";"GPL Auto";"0,7807 €"
"2009-01-04";"GPL Auto";"0,5610 €"
"2010-03-13";"GPL Auto";"0,6447 €"
"2010-03-30";"GPL Auto";"0,6514 €"
"2012-09-08";"GPL Auto";"0,7768 €"
"2009-01-07";"GPL Auto";"0,5620 €"
"2010-03-16";"GPL Auto";"0,6513 €"
"2010-04-04";"GPL Auto";"0,6450 €"
"2012-09-10";"GPL Auto";"0,7834 €"
"2009-01-12";"GPL Auto";"0,5672 €"
"2010-03-21";"GPL Auto";"0,6442 €"
"2011-06-08";"GPL Auto";"0,7789 €"
"2012-09-13";"GPL Auto";"0,7844 €"
"2011-06-11";"GPL Auto";"0,7695 €"
"2010-03-26";"GPL Auto";"0,6516 €"
"2011-06-13";"GPL Auto";"0,7763 €"
"2012-09-18";"GPL Auto";"0,7853 €"
"2011-06-14";"GPL Auto";"0,7766 €"
"2010-03-29";"GPL Auto";"0,6518 €"
"2011-06-16";"GPL Auto";"0,7753 €"
"2010-03-14";"GPL Auto";"0,6449 €"
"2011-06-19";"GPL Auto";"0,7615 €"
"2010-04-03";"GPL Auto";"0,6447 €"
"2011-06-21";"GPL Auto";"0,7754 €"
"2010-03-19";"GPL Auto";"0,6515 €"
"2011-06-24";"GPL Auto";"0,7752 €"
"2009-01-02";"GPL Auto";"0,5610 €"
"2011-06-26";"GPL Auto";"0,7663 €"
"2010-03-24";"GPL Auto";"0,6511 €"
"2011-06-27";"GPL Auto";"0,7751 €"
"2009-01-05";"GPL Auto";"0,5610 €"
"2011-06-29";"GPL Auto";"0,7742 €"
"2010-03-27";"GPL Auto";"0,6440 €"
"2012-09-01";"GPL Auto";"0,7713 €"
"2009-01-10";"GPL Auto";"0,5620 €"
"2012-09-03";"GPL Auto";"0,7785 €"
"2010-04-01";"GPL Auto";"0,6519 €"
"2012-09-04";"GPL Auto";"0,7802 €"
"2009-01-15";"GPL Auto";"0,5613 €"
"2012-09-06";"GPL Auto";"0,7817 €"
"2011-06-10";"GPL Auto";"0,7791 €"
"2012-09-09";"GPL Auto";"0,7765 €"
"2012-09-02";"GPL Auto";"0,7710 €"
"2012-09-11";"GPL Auto";"0,7841 €"
"2010-04-06";"GPL Auto";"0,6558 €"
"2012-09-14";"GPL Auto";"0,7843 €"
"2012-09-07";"GPL Auto";"0,7816 €"
"2012-09-16";"GPL Auto";"0,7619 €"
"2011-06-15";"GPL Auto";"0,7749 €"
"2012-09-17";"GPL Auto";"0,7850 €"
"2012-09-12";"GPL Auto";"0,7840 €"
"2012-09-19";"GPL Auto";"0,7845 €"
"2011-06-18";"GPL Auto";"0,7668 €"
"2012-09-22";"GPL Auto";"0,7797 €"
"2012-09-15";"GPL Auto";"0,7795 €"
"2012-09-24";"GPL Auto";"0,7850 €"
"2011-06-23";"GPL Auto";"0,7754 €"
"2010-04-02";"GPL Auto";"0,6519 €"
"2012-09-20";"GPL Auto";"0,7848 €"
"2010-04-07";"GPL Auto";"0,6564 €"
"2011-06-28";"GPL Auto";"0,7754 €"
"2010-04-05";"GPL Auto";"0,6549 €"
"2012-09-25";"GPL Auto";"0,7851 €"
"2010-04-12";"GPL Auto";"0,6659 €"
"2012-09-21";"GPL Auto";"0,7845 €"
"2010-04-10";"GPL Auto";"0,6561 €"
"2011-06-25";"GPL Auto";"0,7669 €"
"2010-04-15";"GPL Auto";"0,6701 €"
"2011-07-01";"GPL Auto";"0,7745 €"
"2010-04-13";"GPL Auto";"0,6666 €"
"2011-06-30";"GPL Auto";"0,7746 €"
"2010-04-17";"GPL Auto";"0,6630 €"
"2012-09-23";"GPL Auto";"0,7794 €"
"2010-04-18";"GPL Auto";"0,6631 €"
"2011-07-03";"GPL Auto";"0,7656 €"
"2010-04-20";"GPL Auto";"0,6727 €"
"2012-09-26";"GPL Auto";"0,7848 €"
"2010-04-23";"GPL Auto";"0,6735 €"
"2011-07-05";"GPL Auto";"0,7744 €"
"2010-04-25";"GPL Auto";"0,6666 €"
"2012-10-01";"GPL Auto";"0,7854 €"
"2012-09-27";"GPL Auto";"0,7851 €"
"2011-07-08";"GPL Auto";"0,7743 €"
"2009-01-09";"GPL Auto";"0,5620 €"
"2012-10-04";"GPL Auto";"0,7850 €"
"2012-09-30";"GPL Auto";"0,7797 €"
"2010-04-08";"GPL Auto";"0,6571 €"
"2009-01-14";"GPL Auto";"0,5633 €"
"2012-10-09";"GPL Auto";"0,7857 €"
"2012-10-05";"GPL Auto";"0,7847 €"
"2010-04-11";"GPL Auto";"0,6563 €"
"2009-01-19";"GPL Auto";"0,5597 €"
"2010-04-09";"GPL Auto";"0,6634 €"
"2012-10-10";"GPL Auto";"0,7865 €"
"2010-04-16";"GPL Auto";"0,6701 €"
"2009-01-22";"GPL Auto";"0,5559 €"
"2010-04-14";"GPL Auto";"0,6679 €"
"2012-10-13";"GPL Auto";"0,7816 €"
"2010-04-21";"GPL Auto";"0,6728 €"
"2009-01-27";"GPL Auto";"0,5450 €"
"2010-04-19";"GPL Auto";"0,6716 €"
"2012-10-18";"GPL Auto";"0,7880 €"
"2010-04-24";"GPL Auto";"0,6666 €"
"2009-02-01";"GPL Auto";"0,5371 €"
"2010-04-22";"GPL Auto";"0,6734 €"
"2010-04-26";"GPL Auto";"0,6739 €"
"2010-04-29";"GPL Auto";"0,6736 €"
"2009-02-04";"GPL Auto";"0,5366 €"
"2010-04-27";"GPL Auto";"0,6736 €"
"2010-05-01";"GPL Auto";"0,6667 €"
"2012-09-28";"GPL Auto";"0,7848 €"
