data_inicio,gasolina_eur_1000L,gasoleo_eur_1000L,gpl_eur_1000L,portaria,origem
2008-01-01,526.64,343.15,8.00,301-A/2018 (base aplicada para trás),referencia_aproximada
2018-11-23,526.64,343.15,8.00,301-A/2018,oficial_DR
2022-03-14,489.92,308.83,8.00,111-A/2022,oficial_OA
2022-03-28,489.92,295.98,8.00,128-A/2022,oficial_OA
2022-05-02,363.78,180.58,8.00,140-A/2022,oficial_OA
2022-05-09,343.70,168.37,8.00,141-B/2022,oficial_OA
2022-06-27,316.06,162.80,8.00,164-A/2022,oficial_DR
2022-10-03,360.52,163.48,8.00,249-C/2022,oficial_DR
2022-12-31,471.64,295.98,8.00,312-F/2022,oficial_DR
2023-03-03,459.83,311.47,8.00,65-B/2023,oficial_DR
2023-06-05,460.36,323.54,8.00,150-B/2023,oficial_DR
2025-01-01,481.26,337.21,8.00,355-B/2024,oficial_DR
2025-11-28,497.52,361.60,8.00,427-A/2025,oficial_noticia
2026-08-07,462.13,302.44,8.00,331-A/2026,oficial_noticia
